kernel,n_true,events,seed,fitter,n_events,n_hat,se_n,converged,loglik,ks_stat,ks_p,seconds,beta_hat
exp,0.3,500,27,grid_decade_const,556,0.384730923032107,0.05084846305115617,True,-554.0834005314349,0.02414369600738675,0.8941779355017889,0.009038899996085092,
exp,0.3,500,27,grid_default_const,556,0.36518572496622365,0.05453968193107913,True,-553.6256481082287,0.02396761859161234,0.8990296571916634,0.016321700008120388,
exp,0.3,500,27,grid_default_spline2min,556,0.3627881718707534,0.05485601208472697,True,-553.2296288048158,0.021608074079479955,0.9525125887488002,0.025054300000192598,
exp,0.3,500,28,exp_true_beta,458,0.18681439037814107,0.04249722369881731,True,-570.12268468125,0.022863195831062416,0.9659587858859806,0.004710399996838532,
exp,0.3,500,28,exp_profile,458,0.157853492736471,0.03589540031935953,True,-569.5917918502353,0.020220979963113228,0.9902155462502239,0.1611795000062557,3.1934127829049164
exp,0.3,500,28,grid_decade_const,458,0.19584990820255718,0.15799995854218304,True,-569.6693579765346,0.0186942976701433,0.9963480824309202,0.012425000008079223,
exp,0.3,500,28,grid_default_const,458,0.20889243799594978,0.0933302079460455,True,-568.5837371340016,0.01697984365325711,0.9991435479221349,0.022309199994197115,
exp,0.3,500,28,grid_default_spline2min,458,0.17582619254167686,0.09559007603225923,True,-567.1555679156083,0.01568920876181923,0.9997944636181867,0.020537000003969297,
exp,0.3,500,29,exp_true_beta,484,0.21439637268320258,0.04309869202058053,True,-573.110561583251,0.02099194903508239,0.980361590221344,0.0043258999940007925,
exp,0.3,500,29,exp_profile,484,0.26044078216406963,0.05020349481833945,True,-572.3193211794876,0.019538698460201592,0.9909982499035493,0.12384669999300968,1.2733771370353812
exp,0.3,500,29,grid_decade_const,484,0.2831918418039985,0.05453009925108513,True,-572.1367769979696,0.025940537197722102,0.8919564523990697,0.010256600013235584,
exp,0.3,500,29,grid_default_const,484,0.27486992617366374,0.05889528093923383,True,-571.1739874844259,0.021257956352783325,0.9777471595643924,0.015496699998038821,
exp,0.3,500,29,grid_default_spline2min,484,0.2538409587353478,0.05956597478426609,True,-568.7176949572138,0.026028716665027263,0.8896283349437749,0.016460700004245155,
exp,0.3,500,30,exp_true_beta,498,0.3044869524417078,0.04210800476100955,True,-556.0205831404751,0.02259971874057909,0.9560761509215902,0.004615400001057424,
exp,0.3,500,30,exp_profile,498,0.30374930240326653,0.04202114347872495,True,-556.0202657235493,0.02299155972929323,0.9494620479102163,0.12747399999352638,2.0146214302999086
exp,0.3,500,30,grid_decade_const,498,0.3704212562140702,0.12141346182054473,True,-557.2999979942064,0.032863182795712875,0.6428546112130976,0.008430599991697818,
exp,0.3,500,30,grid_default_const,498,0.3703884354333183,0.08559246392250486,True,-555.5614277231487,0.028832517779860733,0.7909204872465602,0.01981579999846872,
exp,0.3,500,30,grid_default_spline2min,498,0.29467060836982634,0.0554833652800362,True,-552.0299898168051,0.03234728883872029,0.6622804377171079,0.015633999995770864,
exp,0.3,500,31,exp_true_beta,475,0.29126904284239896,0.042655922717834506,True,-555.9358275445309,0.0219052231523843,0.9728566009059064,0.00476630000048317,
exp,0.3,500,31,exp_profile,475,0.27616068763987417,0.04068989784988522,True,-555.6795443434997,0.021012810697836004,0.9819386920092263,0.1250617999903625,2.3803008886020636
exp,0.3,500,31,grid_decade_const,475,0.31321389233509833,0.05279767321833081,True,-559.4736685954798,0.03714453645663668,0.5166363316783764,0.007938199996715412,
exp,0.3,500,31,grid_default_const,475,0.2743233556557243,0.05423059571728479,True,-556.1257660322649,0.022203077138351617,0.9692549116620164,0.015291800009435974,
exp,0.3,500,31,grid_default_spline2min,475,0.23816261046737353,0.05581591281282257,True,-552.0025987204779,0.023058293298030164,0.9572419723249905,0.016471399998408742,
exp,0.3,500,32,exp_true_beta,517,0.2358047363101284,0.041399795880916114,True,-574.3033695881172,0.0340882148080342,0.5732108864199823,0.4040988000051584,
exp,0.3,500,32,exp_profile,517,0.20782876906255116,0.03621390365595436,True,-573.166478796104,0.025621163188030704,0.8776363195076301,0.14419019999331795,3.069632328931453
exp,0.3,500,32,grid_decade_const,517,0.24435908866571052,0.05506428962633644,True,-577.6751768231699,0.03791279950967774,0.4365047549745953,0.014694299999973737,
exp,0.3,500,32,grid_default_const,517,0.20570957653776137,0.035899244892403676,True,-573.1727505144828,0.02626291386918178,0.8585575823709386,0.010618400003295392,
exp,0.3,500,32,grid_default_spline2min,517,0.20157372757797176,0.03598969580965428,True,-571.8355801145138,0.023332306330778513,0.9347034548270534,0.014633200000389479,
exp,0.3,500,33,exp_true_beta,530,0.3360941361171441,0.042664419269683174,True,-554.6677658636545,0.02225275690083659,0.9502427620733417,0.0044322000030661,
exp,0.3,500,33,exp_profile,530,0.362781910214371,0.045250304899672814,True,-554.2737213031305,0.019747019694982708,0.9834015980998111,0.12926460000744555,1.6291524001399131
exp,0.3,500,33,grid_decade_const,530,0.4103938794220762,0.05368704598011645,True,-555.7763781092916,0.027825016260886404,0.7956553669459869,0.011088599989307113,
exp,0.3,500,33,grid_default_const,530,0.39580754286029657,0.08170026233857262,True,-554.559244828602,0.021625882177825018,0.9607510413878415,0.012118099999497645,
exp,0.3,500,33,grid_default_spline2min,530,0.3715812306531013,0.055993506101921046,True,-552.806486362969,0.022793357334325415,0.9399481533301447,0.022666000004392117,
exp,0.3,500,34,exp_true_beta,501,0.31809805017768933,0.04436521335954969,True,-559.3533693904438,0.03420351367727159,0.5888127563912544,0.004595200007315725,
exp,0.3,500,34,exp_profile,501,0.3338953083187241,0.04608329198491608,True,-559.1984918046762,0.030572123830591602,0.7252131215562164,0.12661259999731556,1.7549087384484512
exp,0.3,500,34,grid_decade_const,501,0.3739312508061809,0.055342850456511355,True,-561.3726917161587,0.038289529149657664,0.4437336252188244,0.01097940000181552,
