kernel,fitter,n_true,events,mean,sd,bias,rmse,mean_se,coverage95,ks_reject5,converged,mean_events,seconds
exp_offgrid,grid_default_spline2min,0.6,500,0.5933090289193383,0.0447975790021546,-0.006690971080661574,0.044849255476177595,0.04239850876801403,0.92,0.0,1.0,502.82,0.024646468000137246
exp_offgrid,exp_true_beta,0.6,2000,0.6013388166956775,0.028903152060566747,0.0013388166956774161,0.02864396594747565,0.025302999764851487,0.96,0.0,1.0,2034.5,0.006833008000103291
exp_offgrid,exp_profile,0.6,2000,0.6006954526844237,0.032422336288218466,0.0006954526844237407,0.03210400889320324,0.02526585377109928,0.88,0.0,1.0,2034.5,0.1542255559997284
exp_offgrid,grid_decade_const,0.6,2000,0.6647892549710432,0.032250713554021745,0.06478925497104332,0.07222848409008424,0.03373056137702064,0.5,0.16,1.0,2034.5,0.011743253999447915
exp_offgrid,grid_default_const,0.6,2000,0.6182810064604459,0.03949257966658927,0.018281006460445982,0.0431586117588869,0.03784699192047955,0.96,0.0,1.0,2034.5,0.02581065399950603
exp_offgrid,grid_default_spline2min,0.6,2000,0.6076849611713148,0.03498964498509097,0.007684961171314755,0.03548025337090568,0.031282189603781305,0.94,0.0,1.0,2034.5,0.03297818399820244
exp_offgrid,exp_true_beta,0.6,5000,0.5957297465473076,0.021560220687150595,-0.004270253452692303,0.021766518286287645,0.022064984808330478,0.96,0.0,1.0,5016.56,0.007909344000509008
exp_offgrid,exp_profile,0.6,5000,0.5967920152727163,0.02361405381042729,-0.0032079847272836436,0.023595809641226675,0.02209139115214298,0.96,0.0,1.0,5016.56,0.19201191400003154
exp_offgrid,grid_decade_const,0.6,5000,0.6702544182106226,0.0234809533737903,0.07025441821062263,0.07400007666231391,0.030538059309577294,0.3,0.06,1.0,5016.56,0.01784520200046245
exp_offgrid,grid_default_const,0.6,5000,0.6195008209560003,0.03526204332619476,0.019500820956000406,0.03998531584851684,0.039689769561644814,0.96,0.0,1.0,5016.56,0.05235412000096403
exp_offgrid,grid_default_spline2min,0.6,5000,0.6020341011839029,0.027823152102709494,0.002034101183902879,0.027618522855110333,0.0299004772144403,0.98,0.0,1.0,5016.56,0.06832294599968008
exp_offgrid,exp_true_beta,0.9,500,0.8946417788659141,0.052464913616752484,-0.005358221134085807,0.052213277538561004,0.043308510214757956,0.96,0.0,1.0,561.88,0.007037556001159828
exp_offgrid,exp_profile,0.9,500,0.8945514307152587,0.05235505966229643,-0.0054485692847413445,0.052114471445543695,0.04330253007475414,0.94,0.0,1.0,561.88,0.15357316599955084
exp_offgrid,grid_decade_const,0.9,500,0.9034583376018287,0.050396602748006766,0.0034583376018286604,0.05000981219858577,0.043818947452652954,0.96,0.12,1.0,561.88,0.012312711998529267
exp_offgrid,grid_default_const,0.9,500,0.8986148961051437,0.05194327862020674,-0.0013851038948563476,0.0514398738600674,0.04402944032000886,0.94,0.0,1.0,561.88,0.023057529999350665
exp_offgrid,grid_default_spline2min,0.9,500,0.894268478266471,0.05247223160706568,-0.0057315217335290195,0.0522601064810525,0.04378039565141812,0.94,0.0,1.0,561.88,0.056178424001554955
exp_offgrid,exp_true_beta,0.9,2000,0.8968176739692862,0.021310805860192825,-0.003182326030713829,0.02133529086861416,0.022295739182183128,0.96,0.0,1.0,2027.7,0.007775565999327228
exp_offgrid,exp_profile,0.9,2000,0.8964983702242977,0.021380175088235042,-0.003501629775702435,0.021452996530871866,0.022291774576293673,0.96,0.0,1.0,2027.7,0.16552726800000528
exp_offgrid,grid_decade_const,0.9,2000,0.9124903305973682,0.018973129207724024,0.012490330597368132,0.022556338304917344,0.022880009659332443,0.96,0.48,1.0,2027.7,0.013760832000116352
exp_offgrid,grid_default_const,0.9,2000,0.9014819652559853,0.021448198685260014,0.0014819652559852781,0.021284288649740895,0.023185196110187795,0.96,0.0,1.0,2027.7,0.026886020000674762
exp_offgrid,grid_default_spline2min,0.9,2000,0.8975557832840154,0.0223753828008637,-0.0024442167159846304,0.022284945495337945,0.02308132968791578,0.96,0.0,1.0,2027.7,0.056216218000045046
exp_offgrid,exp_true_beta,0.9,5000,0.8967028262998259,0.014897940766854939,-0.00329717370017403,0.015112280460604994,0.015152091909202099,0.96,0.02,1.0,4986.72,0.008712741999479476
exp_offgrid,exp_profile,0.9,5000,0.8968337579661028,0.01491243869165649,-0.0031662420338972575,0.015098287975627674,0.01515298899491485,0.94,0.0,1.0,4986.72,0.17426798800064716
exp_offgrid,grid_decade_const,0.9,5000,0.9198541135885663,0.012073313944109295,0.019854113588566168,0.023174025066631212,0.0159553244490682,0.76,0.8,1.0,4986.72,0.020689532000687905
exp_offgrid,grid_default_const,0.9,5000,0.901613252772052,0.013730457633042845,0.0016132527720518564,0.013687861117905261,0.016839222241569668,0.96,0.02,1.0,4986.72,0.03774401800124906
exp_offgrid,grid_default_spline2min,0.9,5000,0.8966862789374589,0.014981524891864627,-0.0033137210625410907,0.015196641523842562,0.01617755718224153,0.96,0.02,1.0,4986.72,0.05891304399789078
